file_name,x_cat,x_sub,BDFE_cat,BDFE_sub,d,gibbs_2,Vbur_cat,Vbur_sub_jiaozun,x2,d2,gibbs_3,rxn,Vbur_sub,rxnbieren,d044,d056,gibbs,ref,exp-k,exp-barrier

k03,6.0 ,3.3 ,94.6 ,83.1 ,0.0 ,7.3 ,34.2 ,21.0 ,7.4 ,1.0 ,11.3 ,-11.5 ,25.1 ,-16.2 ,0.0 ,1.0 ,11.5 ,54,26.9,7.3


k08,6.0 ,3.2 ,94.6 ,81.7 ,0.0 ,9.4 ,34.2 ,25.0 ,7.9 ,1.0 ,13.4 ,-13.0 ,25.9 ,-14.2 ,0.0 ,1.0 ,13.6 ,58,0.79,9.4
k09,6.0 ,3.3 ,94.6 ,81.9 ,0.0 ,9.3 ,34.2 ,20.9 ,7.4 ,1.0 ,13.3 ,-12.7 ,22.5 ,-14.2 ,0.0 ,1.0 ,13.5 ,58,0.958,9.3
k10,6.0 ,3.7 ,94.6 ,82.1 ,0.0 ,10.0 ,34.2 ,22.3 ,5.0 ,1.0 ,14.0 ,-12.5 ,23.8 ,-16.3 ,0.0 ,1.0 ,14.2 ,58,0.295,10
k11,6.0 ,3.6 ,94.6 ,87.5 ,0.0 ,10.1 ,34.2 ,25.1 ,5.5 ,1.0 ,14.1 ,-7.1 ,23.3 ,-16.5 ,0.0 ,1.0 ,14.3 ,58,0.23,10.1

k13,6.0 ,3.4 ,94.6 ,84.0 ,0.0 ,9.8 ,34.2 ,25.4 ,7.0 ,1.0 ,13.8 ,-10.6 ,31.8 ,-13.7 ,0.0 ,1.0 ,14.0 ,58,0.41,9.8

k15,6.0 ,3.5 ,94.6 ,82.7 ,0.0 ,10.1 ,34.2 ,29.5 ,6.3 ,1.0 ,14.1 ,-12.0 ,28.7 ,-16.5 ,0.0 ,1.0 ,14.3 ,58,0.26,10.1

k17,6.0 ,3.2 ,94.6 ,81.0 ,0.0 ,9.2 ,34.2 ,23.6 ,7.6 ,1.0 ,13.2 ,-13.6 ,28.6 ,-14.4 ,0.0 ,1.0 ,13.4 ,58,1.08,9.2

k19,6.0 ,3.7 ,94.6 ,86.1 ,0.0 ,10.1 ,34.2 ,27.7 ,5.4 ,1.0 ,14.1 ,-8.5 ,22.5 ,-16.6 ,0.0 ,1.0 ,14.3 ,58,0.25,10.1

k21,6.0 ,3.7 ,94.6 ,78.1 ,1.0 ,9.5 ,34.2 ,21.1 ,5.3 ,0.0 ,13.5 ,-16.5 ,23.7 ,-15.2 ,0.4 ,0.6 ,13.7 ,58,0.616,9.5
k22,6.0 ,3.7 ,94.6 ,88.2 ,0.0 ,11.3 ,34.2 ,17.6 ,5.4 ,1.0 ,15.3 ,-6.4 ,24.1 ,-16.1 ,0.0 ,1.0 ,15.5 ,58,0.03,11.3
k23,6.0 ,3.2 ,94.6 ,82.3 ,0.0 ,9.6 ,34.2 ,18.1 ,7.8 ,1.0 ,13.6 ,-12.3 ,19.5 ,-14.1 ,0.0 ,1.0 ,13.8 ,58,0.57,9.6
k24,6.0 ,3.7 ,94.6 ,87.3 ,0.0 ,11.3 ,34.2 ,22.1 ,5.3 ,1.0 ,15.3 ,-7.3 ,23.1 ,-16.5 ,0.0 ,1.0 ,15.5 ,58,0.03,11.3









K01-P1-c1-1Osp.out,6.0 ,3.5 ,94.6 ,63.8 ,1.0 ,6.8 ,34.2 ,14.9 ,6.2 ,0.0 ,10.8 ,-30.8 ,17.4 ,-14.0 ,0.4 ,0.6 ,11.0 ,53,65.6,6.8
K103-P1-c2-1Osp.out,6.0 ,3.7 ,94.6 ,83.3 ,0.0 ,9.4 ,34.2 ,9.6 ,5.1 ,1.0 ,13.4 ,-11.3 ,18.0 ,-15.4 ,0.0 ,1.0 ,13.6 ,63,0.84,9.4
K105-P1-c1-1Osp.out,6.0 ,3.3 ,94.6 ,84.3 ,0.0 ,8.9 ,34.2 ,12.5 ,7.4 ,1.0 ,12.9 ,-10.3 ,19.1 ,-14.2 ,0.0 ,1.0 ,13.1 ,63,1.95,8.9
K106-P1-c1-1Osp.out,6.0 ,3.1 ,94.6 ,84.0 ,0.0 ,8.8 ,34.2 ,12.7 ,8.3 ,1.0 ,12.8 ,-10.6 ,19.0 ,-13.8 ,0.0 ,1.0 ,13.0 ,63,2.08,8.8
K108-P1-c1-1Osp.out,6.0 ,2.9 ,94.6 ,83.5 ,0.0 ,8.3 ,34.2 ,21.8 ,9.9 ,1.0 ,12.3 ,-11.1 ,18.8 ,-14.1 ,0.0 ,1.0 ,12.5 ,63,5.06,8.3
K109-P1-c1-1Osp.out,6.0 ,3.0 ,94.6 ,83.1 ,0.0 ,8.7 ,34.2 ,21.8 ,9.2 ,1.0 ,12.7 ,-11.5 ,23.1 ,-14.3 ,0.0 ,1.0 ,12.9 ,63,2.37,8.7
